3632.61914063  2.54408560795 
3633.65733963  2.6242463886 
3634.69553863  2.70441008094 
3635.73373763  2.78457662893 
3636.77193664  2.86474597651 
3637.81013564  2.94491806763 
3638.84833464  3.02509284625 
3639.88653365  3.1052702563 
3640.92473265  3.18545024174 
3641.96293165  3.26563274652 
3643.00113066  3.34581771459 
3644.03932966  3.4260050899 
3645.07752866  3.50619481639 
3646.11572767  3.58638683801 
3647.15392667  3.66658109872 
3648.19212567  3.74677754246 
3649.23032468  3.82697611319 
3650.26852368  3.90717675484 
3651.30672268  3.98737941137 
3652.34492168  4.06758402674 
3653.38312069  4.14779054488 
3654.42131969  4.22799890975 
3655.45951869  4.30820906529 
3656.4977177  4.38842095546 
3657.5359167  4.4686345242 
3658.5741157  4.54884971547 
3659.61231471  4.62906647321 
3660.65051371  4.70928474137 
3661.68871271  4.7895044639 
3662.72691172  4.86972558476 
3663.76511072  4.94994804788 
3664.80330972  5.03017179722 
3665.84150873  5.11039677672 
3666.87970773  5.19062293035 
3667.91790673  5.27085020203 
3668.95610573  5.35107853574 
3669.99430474  5.4313078754 
3671.03250374  5.51153816498 
3672.07070274  5.59176934843 
3673.10890175  5.67200136968 
3674.14710075  5.75223417269 
3675.18529975  5.83246770142 
3676.22349876  5.9127018998 
3677.26169776  5.99293671178 
3678.29989676  6.07317208133 
3679.33809577  6.15340795238 
3680.37629477  6.23364426889 
3681.41449377  6.31388097479 
3682.45269277  6.39411801406 
3683.49089178  6.47435533062 
3684.52909078  6.55459286844 
3685.56728978  6.63483057145 
3686.60548879  6.71506838362 
3687.64368779  6.79530624888 
3688.68188679  6.87554411119 
3689.7200858  6.9557819145 
3690.7582848  7.03601960276 
3691.7964838  7.1162571199 
3692.83468281  7.1964944099 
3693.87288181  7.27673141668 
3694.91108081  7.35696808421 
3695.94927982  7.43720435643 
3696.98747882  7.51744017729 
3698.02567782  7.59767549074 
3699.06387682  7.67791024073 
3700.10207583  7.75814437121 
3701.14027483  7.83837782612 
3702.17847383  7.91861054942 
3703.21667284  7.99884248505 
3704.25487184  8.07907357697 
3705.29307084  8.15930376912 
3706.33126985  8.23953300545 
3707.36946885  8.31976122992 
3708.40766785  8.39998838647 
3709.44586686  8.48021441904 
3710.48406586  8.5604392716 
3711.52226486  8.64066288808 
3712.56046387  8.72088521244 
3713.59866287  8.80110618862 
3714.63686187  8.88132576058 
3715.67506087  8.96154387227 
3716.71325988  9.04176046763 
3717.75145888  9.12197549061 
3718.78965788  9.20218888516 
3719.82785689  9.28240059523 
3720.86605589  9.36261056478 
3721.90425489  9.44281873774 
3722.9424539  9.52302505807 
3723.9806529  9.60322946972 
3725.0188519  9.68343191663 
3726.05705091  9.76363234276 
3727.09524991  9.84383069205 
3728.13344891  9.92402690846 
3729.17164791  10.0042209359 
3730.20984692  10.0844127184 
3731.24804592  10.1646021999 
3732.28624492  10.2447893242 
3733.32444393  10.3249740354 
3734.36264293  10.4051562774 
3735.40084193  10.4853359942 
3736.43904094  10.5655131297 
3737.47723994  10.6456876278 
3738.51543894  10.7258594326 
3739.55363795  10.8060284879 
3740.59183695  10.8861947377 
3741.63003595  10.9663581259 
3742.66823496  11.0465185966 
3743.70643396  11.1266760936 
3744.74463296  11.2068305609 
3745.78283196  11.2869819424 
3746.82103097  11.3671301822 
3747.85922997  11.4472752241 
3748.89742897  11.5274170121 
3749.93562798  11.6075554901 
3750.97382698  11.6876906021 
3752.01202598  11.7678222921 
3753.05022499  11.847950504 
3754.08842399  11.9280751817 
3755.12662299  12.0081962692 
3756.164822  12.0883137104 
3757.203021  12.1684274493 
3758.24122  12.2485374299 
3759.27941901  12.328643596 
3760.31761801  12.4087458917 
3761.35581701  12.4888442609 
3762.39401601  12.5689386475 
3763.43221502  12.6490289955 
3764.47041402  12.7291152488 
3765.50861302  12.8091973514 
3766.54681203  12.8892752472 
3767.58501103  12.9693488802 
3768.62321003  13.0494181944 
3769.66140904  13.1294831336 
3770.69960804  13.2095436418 
3771.73780704  13.289599663 
3772.77600605  13.3696511412 
3773.81420505  13.4496980202 
3774.85240405  13.529740244 
3775.89060306  13.6097777567 
3776.92880206  13.689810502 
3777.96700106  13.769838424 
3779.00520006  13.8498614666 
3780.04339907  13.9298795738 
3781.08159807  14.0098926895 
3782.11979707  14.0899007577 
3783.15799608  14.1699037223 
3784.19619508  14.2499015272 
3785.23439408  14.3298941165 
3786.27259309  14.4098814341 
3787.31079209  14.4898634238 
3788.34899109  14.5698400297 
3789.3871901  14.6498111957 
3790.4253891  14.7297768658 
3791.4635881  14.8097369839 
3792.5017871  14.889691494 
3793.53998611  14.9696403399 
3794.57818511  15.0495834657 
3795.61638411  15.1295208153 
3796.65458312  15.2094523327 
3797.69278212  15.2893779618 
3798.73098112  15.3692976465 
3799.76918013  15.4492113308 
3800.80737913  15.5291189587 
3801.84557813  15.6090204741 
3802.88377714  15.6889158209 
3803.92197614  15.7688049432 
3804.96017514  15.8486877847 
3805.99837415  15.9285642896 
3807.03657315  16.0084344017 
3808.07477215  16.088298065 
3809.11297115  16.1681552235 
3810.15117016  16.248005821 
3811.18936916  16.3278498016 
3812.22756816  16.4076871092 
3813.26576717  16.4875176877 
3814.30396617  16.5673414811 
3815.34216517  16.6471584334 
3816.38036418  16.7269684884 
3817.41856318  16.8067715902 
3818.45676218  16.8865676826 
3819.49496119  16.9663567097 
3820.53316019  17.0461386154 
3821.57135919  17.1259133436 
3822.6095582  17.2056808383 
3823.6477572  17.2854410434 
3824.6859562  17.3651939029 
3825.7241552  17.4449393608 
