# Interval 1 - Bright 
#9001.33    X   0.    295 250.  40. 200.   8600. 9300.
#8988.384   X   0.    285 240.  50. 200.   8700. 9200.
#8958.103   X   0.    255 210.  50. 250.   8700. 9200.
#8943.408   X   0.    235 190.  50. 250.   8700. 9200.
#8919.637   X   0.    215 170.  50. 250.   8700. 9200.
#8903.123   X   0.    195 150.  50. 250.   8700. 9200.

#8885.856   X   0.    170 135.  50. 250.   8700. 9200.

#8867.605   X   0.    150 115.  30. 250.   8700. 9200.
#8849.70    X   0.    136 100.  30. 250.   8700. 9200.
#8827.112   X   0.    110  80.  30. 250.   8700. 9200. # Double 
#8791.189   X   0.     75  40.  30. 300.   8700. 9200.
#8777.70    X   0.     65  30.  30. 300.   8700. 9200. # It should be a triple fit with double below
#8761.2     X   0.     45  15.  30. 300.   8700. 9200. # Double


# Last
#9250.6     X   0.    130  25.  20   50.   9100. 9350.
#9263.8     X   0.    130  25.  15   35.   9100. 9350.
